tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,plot
tt0035423,movie,Kate & Leopold,Kate & Leopold,2001,118.0,"Comedy,Fantasy,Romance",6.4,91628.0,{'en-US': 'An English Duke from 1876 is inadvertently dragged to modern day New York where he falls for a plucky advertising executive.'}
tt0098532,movie,The Match Factory Girl,Tulitikkutehtaan tyttö,1990,69.0,"Comedy,Crime,Drama",7.5,12777.0,"{'en-US': ""A woman's terribly dull life is upended by a one-night stand pregnancy, causing her to seek retribution.""}"
tt0098966,movie,Three Men and a Little Lady,3 Men and a Little Lady,1990,104.0,"Comedy,Drama,Family",5.5,27687.0,"{'en-US': 'Three ex-dads quickly discover how empty life is without their little lady, and go to outrageous lengths in their efforts to win their daughter back in this critically acclaimed and equally charming sequel.'}"
tt0098987,movie,The Adventures of Ford Fairlane,The Adventures of Ford Fairlane,1990,104.0,"Action,Adventure,Comedy",6.4,19730.0,{'en-US': 'A vulgar private detective is hired to find a missing groupie and is drawn into a mystery involving a series of murders tied to the music industry.'}
tt0099005,movie,Air America,Air America,1990,113.0,"Action,Comedy,War",5.8,31456.0,{'en-US': 'A young pilot finds himself recruited unwittingly into a covert and corrupt CIA airlift operation in Laos during the Vietnam conflict.'}
tt0099012,movie,Alice,Alice,1990,106.0,"Comedy,Romance",6.6,15786.0,{'en-US': 'A spoiled Manhattan housewife re-evaluates her life after visiting a Chinatown healer.'}
tt0099044,movie,Another 48 Hrs.,Another 48 Hrs.,1990,95.0,"Action,Comedy,Crime",5.9,46152.0,"{'en-US': 'Jack Cates once again enlists the aid of ex-con Reggie Hammond - this time to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area.'}"
tt0099052,movie,Arachnophobia,Arachnophobia,1990,109.0,"Comedy,Horror,Thriller",6.5,78303.0,"{'en-US': 'A new species of South American killer spider hitches a lift to a California town in a coffin and starts to breed, leaving a trail of deaths that puzzle and terrify young Dr. Ross Jennings, who is newly arrived in town with his family.'}"
tt0099077,movie,Awakenings,Awakenings,1990,121.0,"Biography,Drama",7.8,168449.0,"{'en-US': ""Dr. Sayer is a pioneering neurologist who wants to take a risk and give his patients who suffer from encephalitis a drug used for Parkinson's Disease. He tries it out on one man who miraculously wakes from his perpetual catatonic state.""}"
tt0099088,movie,Back to the Future Part III,Back to the Future Part III,1990,118.0,"Adventure,Comedy,Sci-Fi",7.5,499235.0,"{'en-US': 'Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.'}"
tt0099091,movie,Bad Influence,Bad Influence,1990,99.0,"Drama,Thriller",6.3,11756.0,{'en-US': 'A soft and hesitant young man is in danger when he tries to break toxic relationships with a mysterious stranger claiming to be his friend.'}
tt0099141,movie,Bird on a Wire,Bird on a Wire,1990,110.0,"Action,Comedy,Crime",6.0,49387.0,{'en-US': 'An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.'}
tt0099160,movie,Blue Steel,Blue Steel,1990,102.0,"Action,Crime,Drama",5.8,19088.0,{'en-US': 'A rookie in the police force must engage in a cat-and-mouse game with a pistol-wielding psychopath who becomes obsessed with her.'}
tt0099165,movie,The Bonfire of the Vanities,The Bonfire of the Vanities,1990,125.0,"Comedy,Drama,Romance",5.6,27566.0,"{'en-US': 'After his mistress runs over a young teen, a Wall Street hotshot sees his life unravel in the spotlight and attracts the interest of a down-and-out reporter.'}"
