tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0035423,movie,Kate & Leopold,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance",6.4,91628.0
tt0098532,movie,The Match Factory Girl,Tulitikkutehtaan tyttö,1990,69,"Comedy,Crime,Drama",7.5,12777.0
tt0098966,movie,Three Men and a Little Lady,3 Men and a Little Lady,1990,104,"Comedy,Drama,Family",5.5,27687.0
tt0098987,movie,The Adventures of Ford Fairlane,The Adventures of Ford Fairlane,1990,104,"Action,Adventure,Comedy",6.4,19730.0
tt0099005,movie,Air America,Air America,1990,113,"Action,Comedy,War",5.8,31456.0
tt0099012,movie,Alice,Alice,1990,106,"Comedy,Romance",6.6,15786.0
tt0099044,movie,Another 48 Hrs.,Another 48 Hrs.,1990,95,"Action,Comedy,Crime",5.9,46152.0
tt0099052,movie,Arachnophobia,Arachnophobia,1990,109,"Comedy,Horror,Thriller",6.5,78303.0
tt0099077,movie,Awakenings,Awakenings,1990,121,"Biography,Drama",7.8,168449.0
tt0099088,movie,Back to the Future Part III,Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",7.5,499235.0
tt0099091,movie,Bad Influence,Bad Influence,1990,99,"Drama,Thriller",6.3,11756.0
tt0099141,movie,Bird on a Wire,Bird on a Wire,1990,110,"Action,Comedy,Crime",6.0,49387.0
tt0099160,movie,Blue Steel,Blue Steel,1990,102,"Action,Crime,Drama",5.8,19088.0
tt0099165,movie,The Bonfire of the Vanities,The Bonfire of the Vanities,1990,125,"Comedy,Drama,Romance",5.6,27566.0
tt0099180,movie,Bride of Re-Animator,Bride of Re-Animator,1990,96,"Comedy,Horror,Sci-Fi",6.2,18362.0
tt0099204,movie,Cadillac Man,Cadillac Man,1990,97,"Comedy,Crime",5.7,16622.0
tt0099253,movie,Child's Play 2,Child's Play 2,1990,84,"Horror,Thriller",6.0,61024.0
tt0099329,movie,Cry-Baby,Cry-Baby,1990,85,"Comedy,Musical",6.5,66942.0
tt0099334,movie,Cyrano de Bergerac,Cyrano de Bergerac,1990,137,"Comedy,Drama,History",7.5,26703.0
tt0099348,movie,Dances with Wolves,Dances with Wolves,1990,181,"Adventure,Drama,Western",8.0,300450.0
tt0099365,movie,Darkman,Darkman,1990,96,"Action,Sci-Fi,Thriller",6.4,72495.0
tt0099371,movie,Days of Thunder,Days of Thunder,1990,107,"Action,Drama,Sport",6.1,99730.0
tt0099385,movie,Death Warrant,Death Warrant,1990,89,"Action,Crime,Mystery",5.7,21945.0
tt0099422,movie,Dick Tracy,Dick Tracy,1990,105,"Action,Comedy,Crime",6.2,67927.0
tt0099423,movie,Die Hard 2,Die Hard 2,1990,124,"Action,Thriller",7.1,395929.0
tt0099426,movie,Bullet in the Head,Dip huet gai tau,1990,136,"Action,Crime,Drama",7.5,12150.0
tt0099472,movie,DuckTales the Movie: Treasure of the Lost Lamp,DuckTales: The Movie - Treasure of the Lost Lamp,1990,74,"Adventure,Animation,Comedy",6.8,29557.0
tt0099487,movie,Edward Scissorhands,Edward Scissorhands,1990,105,"Drama,Fantasy,Romance",7.9,545062.0
tt0099512,movie,Ernest Goes to Jail,Ernest Goes to Jail,1990,81,"Comedy,Crime,Family",5.4,10357.0
tt0099528,movie,The Exorcist III,The Exorcist III,1990,110,"Drama,Horror,Mystery",6.5,41117.0
tt0099558,movie,Armour of God 2: Operation Condor,Fei ying gai wak,1991,80,"Action,Adventure,Comedy",7.2,23612.0
tt0099582,movie,Flatliners,Flatliners,1990,115,"Drama,Horror,Sci-Fi",6.6,96077.0
tt0099611,movie,Frankenhooker,Frankenhooker,1990,85,"Comedy,Horror,Sci-Fi",6.2,15144.0
tt0099615,movie,The Freshman,The Freshman,1990,102,"Comedy,Crime",6.5,22615.0
tt0099653,movie,Ghost,Ghost,1990,126,"Drama,Fantasy,Romance",7.1,247338.0
tt0099674,movie,The Godfather Part III,The Godfather Part III,1990,162,"Crime,Drama",7.6,438480.0
tt0099685,movie,Goodfellas,GoodFellas,1990,145,"Biography,Crime,Drama",8.7,1320772.0
tt0099697,movie,Graveyard Shift,Graveyard Shift,1990,86,Horror,5.0,13346.0
tt0099699,movie,Green Card,Green Card,1990,107,"Comedy,Drama,Romance",6.3,26685.0
tt0099700,movie,Gremlins 2: The New Batch,Gremlins 2: The New Batch,1990,106,"Comedy,Fantasy,Horror",6.4,116855.0
tt0099703,movie,The Grifters,The Grifters,1990,110,"Crime,Drama,Thriller",6.9,31968.0
tt0099726,movie,Hamlet,Hamlet,1990,135,Drama,6.7,24338.0
tt0099731,movie,The Handmaid's Tale,The Handmaid's Tale,1990,108,"Drama,Romance,Sci-Fi",6.0,11622.0
tt0099739,movie,Hard to Kill,Hard to Kill,1990,96,"Action,Crime,Drama",5.8,33430.0
tt0099740,movie,Hardware,Hardware,1990,94,"Horror,Sci-Fi,Thriller",5.9,17132.0
tt0099762,movie,Henry & June,Henry & June,1990,136,"Biography,Drama",6.3,14564.0
tt0099776,movie,Europa Europa,Europa Europa,1990,112,"Drama,History,War",7.5,17966.0
tt0099785,movie,Home Alone,Home Alone,1990,103,"Comedy,Family",7.7,694454.0
tt0099797,movie,The Hot Spot,The Hot Spot,1990,130,"Crime,Drama,Romance",6.4,14478.0
tt0099800,movie,House Party,House Party,1990,100,"Comedy,Music",6.5,17301.0
tt0099810,movie,The Hunt for Red October,The Hunt for Red October,1990,135,"Action,Adventure,Thriller",7.5,222375.0
tt0099817,movie,Dark Angel,Dark Angel,1990,91,"Action,Crime,Horror",6.1,15292.0
tt0099819,movie,I Love You to Death,I Love You to Death,1990,97,"Comedy,Crime",6.4,16064.0
tt0099850,movie,Internal Affairs,Internal Affairs,1990,115,"Crime,Drama,Thriller",6.5,23852.0
tt0099871,movie,Jacob's Ladder,Jacob's Ladder,1990,113,"Drama,Horror,Mystery",7.4,123274.0
tt0099892,movie,Joe Versus the Volcano,Joe Versus the Volcano,1990,102,"Comedy,Romance",5.9,40907.0
tt0099938,movie,Kindergarten Cop,Kindergarten Cop,1990,111,"Action,Comedy,Crime",6.3,168425.0
tt0099939,movie,King of New York,King of New York,1990,103,"Crime,Thriller",6.9,45034.0
